<pre>  101 ! (c) 2020 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2020 06 07 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 ACME   110     0     53   31.8    5.2    5.1   146    8.5    0.7    6.9    0.00   964.79   272   31.8    4.0   29.2   36.2   31.6   25.2   21.7    3.09    2.22    1.48
 ADAX     1     0     55   32.4    1.0    0.8   108   36.5    0.4    2.2    0.00   976.20   245   32.0    0.2   28.8   38.2   29.6   26.8   -998    2.61    1.88    -998
 ALTU     2     0     31   35.6    8.9    8.7   147   10.9    1.1   11.5    0.00   960.94   296   34.7    6.8   29.3   34.1   30.7   26.1   -998    3.39    2.47    -998
 ALV2   116     0     27   35.8    6.7    6.7   145    8.2    1.2    9.0    0.00   957.45   298   35.5    5.4   24.7   34.7   25.6   22.6   -998    2.70    1.60    -998
 ANT2   135     0     73   27.8    0.0    0.0     0    0.0    0.0    0.0    0.00   990.11   213   27.8    0.0   29.5   31.1   30.2   26.8   23.8    1.96    1.73    1.33
 APAC   111     0     52   32.3    6.2    6.1   133    9.8    0.8    7.9    0.00   959.54   277   31.9    4.6   30.4   35.2   34.7   28.2   22.8    1.79    1.53    1.78
 ARD2   126     0     46   32.9    2.6    2.5   150   11.8    0.5    3.6    0.00   979.23   256   32.6    2.1   30.2   37.1   30.1   26.2   23.5    2.59    1.41    1.42
 ARNE     6     0     28   33.5    6.5    6.3   163   11.9    1.5   10.0    0.00   927.19   334   33.4    4.3   31.9   35.0   33.1   26.9   22.6    2.64    3.02    2.57
 BEAV     8     0     23   34.9   11.2   11.1   165    7.3    1.4   15.2    0.00   921.20   335   34.6    8.9   32.2   30.6   34.2   27.1   22.8    3.53    2.43    2.11
 BESS     9     0     37   33.8    8.3    8.3   156    6.6    1.3   11.2    0.00   950.82   306   33.4    6.4   32.5   35.5   33.5   26.2   -998    3.15    3.34    -998
 BIXB    10     0     55   33.6    3.0    2.9   161    7.9    0.4    3.9    0.00   988.72   250   33.5    2.4   25.8   33.7   28.7   23.0   20.5    2.01    1.44    1.49
 BLAC    11     0     45   33.9    5.1    5.1   155    8.7    0.8    7.3    0.00   974.53   258   33.9    4.2   23.0   35.4   24.5   20.3   18.0    2.14    2.97    3.40
 BOIS    12     0     15   33.7   14.3   14.3   180    5.3    1.3   17.4    0.00   866.96   377   33.1   11.4   28.0   28.6   29.1   25.3   21.7    3.82    3.70    3.79
 BREC    14     0     42   33.9    6.5    6.4   152    9.0    1.0    9.5    0.00   969.03   295   33.9    5.2   27.7   35.3   27.2   23.7   20.6    2.92    2.19    1.63
 BRIS    15     0     59   32.3    1.6    1.6   153   13.8    0.5    2.6    0.00   982.60   242   32.4    1.0   31.0   37.8   31.1   26.8   23.5    1.66    1.47    1.43
 BROK   124     0     60   31.6    2.2    2.1   104   20.5    0.7    4.2    0.00   996.78   227   31.4    1.6   27.8   33.1   30.1   -998   -998    -999    -998    -998
 BUFF    16     0     28   35.6    8.4    8.3   149    8.7    1.8   11.9    0.00   943.56   316   35.1    5.0   29.8   32.9   32.5   26.6   23.1    2.99    2.70    2.22
 BURB    17     0     58   32.0    3.3    3.2   161   11.9    0.7    4.9    0.00   975.46   248   32.2    1.7   31.3   35.9   33.3   -998   -998    2.11    -998    -998
 BURN    18     0     55   32.9    2.0    2.0    89    7.8    0.4    3.4    0.00   983.39   250   32.9    0.8   28.8   36.9   29.3   25.8   23.5    2.20    1.84    1.66
 BUTL    19     0     33   34.2    7.0    6.9   160   10.2    1.1   10.1    0.00   949.47   303   34.0    4.9   27.5   34.2   28.1   24.6   20.1    2.11    2.78    2.27
 BYAR    20     0     52   31.8    3.0    2.9   103   10.4    0.6    4.2    0.00   970.91   255   31.6    2.2   29.7   37.0   32.5   27.1   23.8    2.10    1.39    1.49
 CAMA    22     0     28   34.5    7.6    7.6   168    7.3    1.1   10.8    0.00   941.71   308   34.2    5.7   28.2   34.7   30.0   25.2   -998    3.24    3.29    -998
 CARL   131     0     48   33.3    4.3    4.3   153   10.4    0.7    5.7    0.00   975.92   266   33.3    3.3   28.7   36.8   29.7   24.6   21.2    3.36    3.54    2.50
 CENT    23     0     67   29.7    2.1    2.1   167   14.2    0.6    3.5    0.00   986.00   112   29.7    1.6   27.9   35.5   28.7   24.1   21.9    2.11    1.60    -999
 CHAN    24     0     56   32.4    3.0    2.9   134    7.7    0.5    4.0    0.00   976.88   269   32.0    2.5   30.8   31.6   31.3   26.3   -998    1.73    1.40    -998
 CHER    25     0     25   36.6    5.9    5.8   172    8.5    1.4    8.4    0.00   966.36   303   36.4    4.1   29.0   36.5   29.7   26.6   22.5    3.60    2.16    2.17
 CHEY    26     0     30   33.5    8.8    8.7   148    9.1    1.4   12.1    0.00   930.41   311   33.2    7.3   28.4   35.1   31.9   26.4   22.8    2.94    3.20    3.67
 CHIC    27     0     51   32.7    4.9    4.8   144    8.8    0.6    6.1    0.00   972.14   260   32.6    3.0   25.8   38.6   25.6   -998   -998    2.06    -998    -998
 CLAY    29     0     51   31.9    3.6    3.6    88    8.6    0.7    5.3    0.00   988.40   240   32.3    2.4   27.9   37.4   27.0   -998   -998    2.37    -998    -998
 CLOU    30     0     64   30.9    1.3    1.1   212   35.5    1.0    3.6    0.00   984.70   233   30.9    0.9   30.4   32.8   31.7   27.2   -998    1.90    1.90    -998
 COOK    31     0     66   31.1    1.1    1.1   160   15.5    0.4    1.8    0.00   976.35   245   31.0    0.4   24.9   35.0   26.5   -998   -998    2.38    -998    -998
 COPA    32     0     58   32.6    3.0    3.0   149    7.6    0.6    4.1    0.00   981.60   245   32.6    2.0   28.3   35.5   28.8   24.9   21.6    1.84    1.35    1.38
 DURA    33     0     57   30.6    2.9    2.8    61   10.5    0.5    4.0    0.00   987.06   386   30.3    1.9   30.3   37.1   30.9   27.5   24.2    2.11    1.31    1.38
 ELKC   139     0     33   33.5    8.4    8.3   160    7.6    1.3   11.9    0.00   942.36   308   33.3    6.1   23.7   35.0   25.0   22.4   19.8    3.06    3.29    2.61
 ELRE    34     0     52   31.7    6.0    5.9   154    9.1    0.9    7.7    0.00   961.89   283   32.1    4.2   26.4   33.7   26.3   22.9   19.8    2.54    2.07    1.51
 ERIC    35     0     31   34.1    8.8    8.7   157    6.5    1.3   11.2    0.00   940.01   305   33.9    6.1   28.3   34.1   28.6   26.9   23.3    1.53    1.93    2.15
 EUFA    36     0     55   32.6    2.8    2.7   120    8.7    0.5    4.5    0.00   987.15   238   32.7    1.9   30.0   33.6   31.0   27.4   23.4    1.89    1.46    1.32
 EVAX   141     0     16   34.5   13.4   13.3   171    6.7    2.1   17.7    0.00   888.05   356   34.0    9.3   28.2   28.5   27.0   23.2   20.4    3.78    3.90    3.86
 FAIR    37     0     28   35.8    6.7    6.5   166   11.4    1.4   10.0    0.00   961.94   294   35.5    5.1   25.6   35.5   25.0   24.4   20.8    2.23    1.91    1.72
 FITT   127     0     53   31.7    2.8    2.8   137    4.1    0.4    3.6    0.00   970.02   258   32.0    2.0   28.7   38.1   31.2   24.3   21.7    3.13    2.02    1.43
 FORA    38     0     58   31.8    3.6    3.5   144   11.9    0.7    5.6    0.00   972.42   254   31.8    2.5   29.8   37.1   31.8   25.1   21.3    3.02    1.42    1.35
 FREE    39     0     28   35.0    8.4    8.3   167    7.4    1.1   10.4    0.00   947.30   317   34.9    5.8   -999   33.2   -999   25.3   21.2    3.67    2.26    2.57
 FTCB    40     0     42   33.2    7.8    7.7   145    6.3    0.9    9.8    0.00   961.42   282   33.0    5.3   31.1   36.4   33.4   27.9   24.8    2.02    1.60    1.67
 GOOD    41     0     16   33.9   12.2   12.1   181    7.3    1.6   15.0    0.00   895.45   182   34.0    9.0   31.7   32.0   32.7   25.7   20.9    3.89    3.52    3.67
 GRA2   117     0     40   34.3    6.8    6.7   139    7.6    0.9    8.7    0.00   969.95   279   33.9    5.2   30.0   35.2   29.3   25.1   22.5    3.31    2.24    1.40
 GUTH    43     0     51   32.8    4.8    4.7   144    8.1    0.7    6.2    0.00   971.87   260   32.5    3.9   30.3   36.3   33.1   27.8   -998    3.20    2.43    -998
 HASK    44     0     54   33.8    2.6    2.6   136    7.4    0.6    3.6    0.00   988.96   240   33.6    2.1   27.0   34.2   27.9   23.6   20.6    1.80    1.43    1.38
 HECT   113     0     56   32.6    1.9    1.8   148   13.8    0.5    2.9    0.00   982.37   248   32.5    0.7   28.9   36.8   29.3   25.5   23.3    2.06    1.80    1.44
 HINT    45     0     44   32.2    7.1    7.0   146   10.5    1.0    9.7    0.00   953.56   290   32.1    5.0   31.5   35.1   33.2   27.6   23.0    1.86    2.26    1.69
 HOBA    46     0     40   34.1    8.2    8.2   140    7.8    1.2   10.6    0.00   955.30   292   33.3    6.4   26.1   35.0   30.2   25.0   21.3    2.99    2.82    3.55
 HOLD   134     0     61   32.4    2.2    2.2   122    8.6    0.5    3.4    0.00   978.03   251   32.2    1.6   30.4   35.8   32.6   27.3   23.1    2.01    1.34    1.42
 HOLL    47     0     35   34.2    8.0    7.9   137    8.2    1.4   11.0    0.00   951.40   294   34.4    5.5   29.8   34.0   33.4   26.3   23.1    3.65    3.38    3.28
 HOOK    48     0     17   35.5   11.4   11.3   174    7.9    1.4   14.9    0.00   904.65   274   35.0    8.9   29.2   29.7   31.2   26.6   23.1    2.64    3.26    3.71
 HUGO    49     0   -996   -996   -996   -996  -996   -996   -996   -996    -996     -996  -996   -996   -996   -996   -996   -996   -996   -998    -996    -996    -998
 IDAB    50     0     67   30.5    0.8    0.8   100   10.9    0.2    1.2    0.00   997.36    94   30.5    0.3   30.0   34.0   28.5   27.4   -998    2.80    1.33    -998
 INOL   120     0     53   33.5    2.0    2.0   126    9.8    0.4    2.9    0.00   988.30   254   33.6    1.5   27.1   37.1   28.0   24.2   20.4    1.79    1.39    1.43
 JAYX    51     0     61   31.4    1.3    1.3   102   18.3    0.3    2.2    0.00   976.36   235   31.2    0.6   25.6   -999   29.9   23.8   -998    1.32    1.43    -998
 KENT    52     0     15   33.8   14.8   14.7   177    6.4    1.6   19.1    0.00   860.82   330   33.2   11.3   28.4   32.3   30.6   26.3   -998    3.67    3.73    -998
 KETC    53     0     54   31.9    4.1    4.1   142    7.0    0.6    6.0    0.00   970.94   265   31.9    2.9   29.9   36.5   30.8   26.9   23.4    2.36    2.03    1.62
 KIN2   133     0     40   34.2    6.8    6.6   151   11.9    1.2    9.0    0.00   972.00   288   34.1    5.4   30.4   37.4   30.9   27.1   23.3    2.82    2.21    2.06
 LAHO    55     0     33   35.2    6.0    5.9   161    8.4    1.1    8.9    0.00   963.46   313   34.9    4.0   24.5   33.7   26.5   22.9   19.8    2.19    2.99    2.16
 LANE    56     0     69   28.1    0.4    0.4   109   17.5    0.2    0.8    0.00   989.16   268   28.0    0.1   29.4   31.5   28.3   26.1   23.0    1.58    1.68    1.38
